chembl_id	accession	organism	pref_name	chembl_id_target	smiles	pIC50
CHEMBL29842	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	COC1C(=NN(C=1C1C=CC=CC=1)C1C=CC(S(=O)(=O)N)=CC=1)C(F)(F)F	7.10001543745061
CHEMBL29844	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1C(OC)=C(Cl)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	7.18030260736931
CHEMBL29847	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1OC(C2N(N=C(C(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	5.48280410205003
CHEMBL29847	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	CC1OC(C2N(N=C(C(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	5.48000015933032
CHEMBL298476	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1=C(Cl)C=C(C2N(C3C=CC(S(=O)(=O)N)=CC=3)C=C(N=2)C(F)(F)F)C=C1	6.24412514432751
CHEMBL298476	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1=C(Cl)C=C(C2N(C3C=CC(S(=O)(=O)N)=CC=3)C=C(N=2)C(F)(F)F)C=C1	8.5214359011616
CHEMBL298729	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2C(C3C=CC(F)=CC=3)=CC3OCOC=3C=2)=CC=1	7.08092190762393
CHEMBL298762	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C(F)=CC=CC=3)C2)C2C=CC=CC=2)=CC=1	4.96657624451305
CHEMBL298762	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C(F)=CC=CC=3)C2)C2C=CC=CC=2)=CC=1	6.04575749056067
CHEMBL29887	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1C(OC)=CC=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	4.81123958615253
CHEMBL29887	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1C(OC)=CC=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	8.03105081971521
CHEMBL29887	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	CC1C(OC)=CC=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=1	8.0301183562535
CHEMBL29899	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CN(C1=C(F)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1)C	5.42010842805236
CHEMBL29899	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CN(C1=C(F)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1)C	8.24412514432751
CHEMBL29899	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	CN(C1=C(F)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1)C	8.24033215531037
CHEMBL29920	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	4.25942419024413
CHEMBL29920	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	7.49323051013998
CHEMBL29920	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	C1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1	7.50003813440381
CHEMBL29923	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC1=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=C1	4.74116069569316
CHEMBL29923	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=C1	6.95906866455667
CHEMBL29923	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	CC1=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=C1	6.95999136398646
CHEMBL299251	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1=NC=C(C2C(C3C=CC(S(=O)(=O)C)=CC=3)=CC(F)=C(F)C=2)C=C1	6.76955107862173
CHEMBL29942	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=CC=1	6.53840291605156
CHEMBL29942	Q05769	Mus_musculus	Cyclooxygenase-2	CHEMBL4321	COC1C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=CC=1	6.54000474395261
CHEMBL299567	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1=C(Cl)C=C(C2C(C3C=CC(S(=O)(=O)C)=CC=3)=CC=CC=2)C=C1	4.94309514866353
CHEMBL299765	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C=CC=CC=3)C2)C2=CC(F)=C(F)C=C2)=CC=1	5.08618614761628
CHEMBL299765	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C=CC=CC=3)C2)C2=CC(F)=C(F)C=C2)=CC=1	6
CHEMBL299806	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CN(C1=C(Cl)C=C(C2C(C3C=CC(S(=O)(=O)C)=CC=3)=CC(F)=C(F)C=2)C=C1)C	8.09854475529048
CHEMBL300021	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1C=CC(C2C(=O)N(C3C=CC=CC=3)CC=2C2C=CC(S(=O)(=O)C)=CC=2)=CC=1	5.57186520597121
CHEMBL300021	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C=CC(C2C(=O)N(C3C=CC=CC=3)CC=2C2C=CC(S(=O)(=O)C)=CC=2)=CC=1	6.46852108295774
CHEMBL300047	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C(F)=CC=CC=3)C2)C2C=CC(F)=CC=2)=CC=1	5.60205999132796
CHEMBL300047	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CS(=O)(=O)C1C=CC(C2=C(C(=O)N(C3C(F)=CC=CC=3)C2)C2C=CC(F)=CC=2)=CC=1	6.49485002168009
CHEMBL30011	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(Cl)=CC=2)=CC=1	7.74472749489669
CHEMBL30011	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(Cl)=CC=2)=CC=1	6.12246867414327
CHEMBL300597	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C(Cl)=CC(C2C(C3C=CC(S(=O)(=O)N)=CC=3)=CC(F)=C(F)C=2)=CC=1Cl	7.67892113264289
CHEMBL300600	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	C1=C(C2C(C3=CC4OCOC=4C=C3)=CC(F)=C(F)C=2)C=CC(S(=O)(=O)N)=C1	5.76955107862173
CHEMBL300600	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	C1=C(C2C(C3=CC4OCOC=4C=C3)=CC(F)=C(F)C=2)C=CC(S(=O)(=O)N)=C1	8.39902846829917
CHEMBL300601	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC1C(=CC(C2C(C3C=CC(S(=O)(=O)C)=CC=3)=CC(F)=C(F)C=2)=CC=1)C	7.6391235373965
CHEMBL300687	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	COC1C(N2C(=O)C(=C(C3C=CC(S(=O)(=O)C)=CC=3)C2)C2C=CC(F)=CC=2)=CC=CC=1	5.39794000867204
CHEMBL300687	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	COC1C(N2C(=O)C(=C(C3C=CC(S(=O)(=O)C)=CC=3)C2)C2C=CC(F)=CC=2)=CC=CC=1	5.97881070093006
CHEMBL300710	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CC(O)(CSC1N=CC(C(F)(F)F)=CC=1C1C=CC(S(=O)(=O)C)=CC=1)C	4.4089353929735
CHEMBL300710	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CC(O)(CSC1N=CC(C(F)(F)F)=CC=1C1C=CC(S(=O)(=O)C)=CC=1)C	6.15490195998574
CHEMBL30084	P23219	Homo_sapiens	Cyclooxygenase-1	CHEMBL221	CNC1=C(Cl)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1	4.10978949525125
CHEMBL30084	P35354	Homo_sapiens	Cyclooxygenase-2	CHEMBL230	CNC1=C(Cl)C=C(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)C=C1	7.56906580537669
